大分類,中分類,銘柄コード,銘柄名,備考
0. 主要指数,指数,^DJI,ダウ平均,米国30種
0. 主要指数,指数,^IXIC,ナスダック,ハイテク中心
0. 主要指数,指数,^N225,日経平均,225種
0. 主要指数,指数,^GSPC,S&P 500,米国大型500種
0. 主要指数,指数,^VIX,VIX指数,恐怖指数
0. 主要指数,商品,GC=F,金先物,1ozあたり
0. 主要指数,商品,CL=F,原油先物,WTI原油
0. 主要指数,為替,JPY=X,ドル/円,1ドルあたりの円価格
0. 主要指数,為替,EURJPY=X,ユーロ/円,1ユーロあたりの円価格
0. 主要指数,為替,GBPJPY=X,ポンド/円,1ポンドあたりの円価格
0. 主要指数,為替,AUDJPY=X,豪ドル/円,1豪ドルあたりの円価格
0. 主要指数,為替,NZDJPY=X,NZドル/円,1NZドルあたりの円価格
0. 主要指数,為替,CNYJPY=X,人民元/円,1元あたりの円価格
0. 主要指数,金利,^TNX,米10年債金利,長期金利
0. 主要指数,金利,^IRX,米13週債金利,短期金利
0. 主要指数,金利,^TYX,米30年債金利,超長期金利
1. ハイテク・精密機器,機械,6146,ディスコ,半導体・製造装置
1. ハイテク・精密機器,機械,6273,ＳＭＣ,
1. ハイテク・精密機器,機械,6301,小松製作所,
1. ハイテク・精密機器,機械,6326,クボタ,
1. ハイテク・精密機器,機械,6367,ダイキン工業,
1. ハイテク・精密機器,機械,7011,三菱重工業,防衛・宇宙
1. ハイテク・精密機器,機械,5631,日本製鋼所,防衛・宇宙
1. ハイテク・精密機器,機械,6005,三浦工業,
1. ハイテク・精密機器,機械,6113,アマダ,
1. ハイテク・精密機器,機械,6134,ＦＵＪＩ,
1. ハイテク・精密機器,機械,6136,オーエスジー,
1. ハイテク・精密機器,機械,6141,ＤＭＧ森精機,
1. ハイテク・精密機器,機械,6268,ナブテスコ,
1. ハイテク・精密機器,機械,6269,三井海洋開発,
1. ハイテク・精密機器,機械,6302,住友重機械工業,
1. ハイテク・精密機器,機械,6305,日立建機,
1. ハイテク・精密機器,機械,6323,ローツェ,
1. ハイテク・精密機器,機械,6361,荏原製作所,
1. ハイテク・精密機器,機械,6368,オルガノ,
1. ハイテク・精密機器,機械,6370,栗田工業,
1. ハイテク・精密機器,機械,6383,ダイフク,
1. ハイテク・精密機器,機械,6417,ＳＡＮＫＹＯ,
1. ハイテク・精密機器,機械,6436,アマノ,
1. ハイテク・精密機器,機械,6457,グローリー,
1. ハイテク・精密機器,機械,6460,セガサミーホールディングス,
1. ハイテク・精密機器,機械,6465,ホシザキ,
1. ハイテク・精密機器,機械,6471,日本精工,
1. ハイテク・精密機器,機械,6472,ＮＴＮ,
1. ハイテク・精密機器,機械,6473,ジェイテクト,
1. ハイテク・精密機器,機械,6481,ＴＨＫ,
1. ハイテク・精密機器,機械,6586,マキタ,
1. ハイテク・精密機器,機械,7003,三井Ｅ＆Ｓ,
1. ハイテク・精密機器,機械,7013,ＩＨＩ,防衛・宇宙
1. ハイテク・精密機器,精密機器,4543,テルモ,
1. ハイテク・精密機器,精密機器,7733,オリンパス,
1. ハイテク・精密機器,精密機器,7741,ＨＯＹＡ,
1. ハイテク・精密機器,精密機器,7701,島津製作所,防衛・宇宙
1. ハイテク・精密機器,精密機器,7729,東京精密,
1. ハイテク・精密機器,精密機器,7731,ニコン,半導体・製造装置
1. ハイテク・精密機器,精密機器,7747,朝日インテック,
1. ハイテク・精密機器,精密機器,8086,ニプロ,
1. ハイテク・精密機器,電気機器,6501,日立製作所,
1. ハイテク・精密機器,電気機器,6503,三菱電機,防衛・宇宙
1. ハイテク・精密機器,電気機器,6701,日本電気,防衛・宇宙
1. ハイテク・精密機器,電気機器,6702,富士通,防衛・宇宙
1. ハイテク・精密機器,電気機器,6723,ルネサスエレクトロニクス,半導体・製造装置
1. ハイテク・精密機器,電気機器,6752,パナソニック　ホールディングス,
1. ハイテク・精密機器,電気機器,6758,ソニーグループ,
1. ハイテク・精密機器,電気機器,6762,ＴＤＫ,
1. ハイテク・精密機器,電気機器,6857,アドバンテスト,半導体・製造装置
1. ハイテク・精密機器,電気機器,6861,キーエンス,
1. ハイテク・精密機器,電気機器,6920,レーザーテック,半導体・製造装置
1. ハイテク・精密機器,電気機器,6954,ファナック,
1. ハイテク・精密機器,電気機器,6971,京セラ,
1. ハイテク・精密機器,電気機器,6981,村田製作所,
1. ハイテク・精密機器,電気機器,7751,キヤノン,半導体・製造装置
1. ハイテク・精密機器,電気機器,8035,東京エレクトロン,半導体・製造装置
1. ハイテク・精密機器,電気機器,285A,キオクシアホールディングス,半導体・製造装置
1. ハイテク・精密機器,電気機器,3105,日清紡ホールディングス,
1. ハイテク・精密機器,電気機器,4062,イビデン,半導体・製造装置
1. ハイテク・精密機器,電気機器,4902,コニカミノルタ,
1. ハイテク・精密機器,電気機器,6448,ブラザー工業,
1. ハイテク・精密機器,電気機器,6479,ミネベアミツミ,
1. ハイテク・精密機器,電気機器,6504,富士電機,
1. ハイテク・精密機器,電気機器,6506,安川電機,
1. ハイテク・精密機器,電気機器,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,半導体・製造装置
1. ハイテク・精密機器,電気機器,6526,ソシオネクスト,半導体・製造装置
1. ハイテク・精密機器,電気機器,6592,マブチモーター,
1. ハイテク・精密機器,電気機器,6632,ＪＶＣケンウッド,
1. ハイテク・精密機器,電気機器,6645,オムロン,
1. ハイテク・精密機器,電気機器,6674,ジーエス・ユアサ　コーポレーション,
1. ハイテク・精密機器,電気機器,6707,サンケン電気,
1. ハイテク・精密機器,電気機器,6724,セイコーエプソン,
1. ハイテク・精密機器,電気機器,6728,アルバック,
1. ハイテク・精密機器,電気機器,6753,シャープ,
1. ハイテク・精密機器,電気機器,6754,アンリツ,
1. ハイテク・精密機器,電気機器,6770,アルプスアルパイン,
1. ハイテク・精密機器,電気機器,6806,ヒロセ電機,
1. ハイテク・精密機器,電気機器,6841,横河電機,
1. ハイテク・精密機器,電気機器,6845,アズビル,
1. ハイテク・精密機器,電気機器,6849,日本光電工業,
